alpha_name,ic_mean,ic_std,ic_ir,ic_fold1,ic_fold2,ic_fold3,sharpe_mean,max_dd_mean,total_return_mean
mr_001,-0.004761133016923728,0.010985523063068955,-0.4334006664579921,-0.009823567893484327,0.00750239544759135,-0.020210237026154043,-0.05033543248047964,-96.94063103111968,-0.28653589791337775
vwap_003,-0.004909206537677579,0.006983983788364526,-0.7029235299567028,-0.002668855870976912,-0.005950953758304452,-0.015211120917432618,-0.016084994753684478,-24.248076606227237,-0.21790535879134076
mr_010,-0.004975759733385261,0.006569113867990639,-0.7574476304377483,-0.004439992446077984,0.001524465682555363,-0.015750492759928587,-0.05033543248047964,-96.94063103111968,-0.28653589791337775
mr_008,-0.006139339373913332,0.008374208188288575,-0.733124760678779,-0.011853887143622736,0.005060714964096473,-0.016208987859344264,-0.05033543248047964,-96.94063103111968,-0.28653589791337775
mr_005,-0.006372902677711239,0.009291171523952764,-0.6859094852873839,0.00433884160092897,0.001355855014258242,-0.01622650022448708,-0.05033543248047964,-96.94063103111968,-0.28653589791337775
momentum_011,-0.00957729908675503,0.010305353278390347,-0.9293518453984494,-0.023863938977142212,0.003913797511628843,-0.004799629415657939,0.05033543248047964,-9.64871607238844,0.6765068677205344
time_001,-0.009650992572388325,0.003631794688577957,-2.657361827952672,-0.006802117219299478,-0.011140751111043875,-0.005775297962408214,0.05033543248047964,-9.64871607238844,0.6765068677205344
vol_008,-0.010068091977604537,0.005503441729972401,-1.8294173849016164,-0.01592742633005174,-0.0026148693694685986,-0.014737949563996528,0.05033543248047964,-9.64871607238844,0.6765068677205344
mr_004,-0.01011992831847665,0.006267088412700559,-1.6147735043865223,-0.007329114338063903,-0.019973277622860393,-0.010282490031393749,-0.020140825855869546,-23.989689679335157,-0.3091226833059908
combo_002,-0.010442119449265583,0.012467666926166516,-0.8375359649165943,-0.02287267480941661,0.010337749745407762,-0.014071944619966817,0.050511140525948475,-8.423545513908126,0.6779978331922925
vol_003,-0.012534905514631788,0.007574864441063088,-1.654802618866746,-0.014584638581578355,-0.01156012411179654,-0.022575352924706235,-0.05033543248047964,-96.94063103111968,-0.28653589791337775
combo_004,-0.012926327773588785,0.009348333531757387,-1.3827413976701335,-0.018862726722384614,0.0026989661348029775,-0.021179394791556675,0.05033543248047964,-9.64871607238844,0.6765068677205344
